YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,LanguageEase,BestPlayers,NumOwned,NumWish,NumWeightVotes,MfgPlaytime,MfgAgeRec,NumAlternates,NumExpansions,NumImplementations,IsReimplementation,Kickstarted,Rank:strategygames,Rank:abstracts,Rank:familygames,Rank:thematic,Rank:cgs,Rank:wargames,Rank:partygames,Rank:childrensgames,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens,Rating,log_NumOwned,log_NumWish,log_MfgPlaytime
2014,1.8333,2,4,8.0,213.0,0,528,64,6,30,15,0,1,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,6.270988431858299,4.174387269895637,3.4339872044851463
2021,1.0,2,5,8.0,36.0,0,72,47,6,20,8,1,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,4.290459441148391,3.871201010907891,3.044522437723423
2020,3.6667,1,5,10.0,138.0,0,834,63,9,150,12,0,1,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,High,6.727431724850855,4.1588830833596715,5.017279836814924
2004,1.3077,2,2,7.0,138.0,0,154,7,13,20,10,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,5.043425116919247,2.0794415416798357,3.044522437723423
2019,1.5,2,4,10.0,7.0,0,208,35,2,20,8,3,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,5.342334251964811,3.58351893845611,3.044522437723423
2015,1.6,3,5,8.0,501.0,0,487,52,5,30,8,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,6.1903154058531475,3.970291913552122,3.4339872044851463
2007,3.7,2,7,10.0,388.0,0,161,43,10,0,0,0,0,1,0,0,21926,21926,21926,21926,21926,1939,21926,21926,0,0,1,0,0,0,0,0,High,5.087596335232384,3.784189633918261,0.0
2009,1.0,2,6,10.0,138.0,0,136,3,1,90,8,1,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,4.919980925828125,1.3862943611198906,4.51085950651685
1984,1.6667,2,6,8.0,19.666666666666668,0,583,9,27,90,7,9,3,1,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,6.369900982828227,2.302585092994046,4.51085950651685
2012,1.0,2,6,10.0,138.0,0,96,1,3,5,6,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,4.574710978503383,0.6931471805599453,1.791759469228055
2011,1.6667,2,6,10.0,138.0,0,56,3,3,75,10,1,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,4.04305126783455,1.3862943611198906,4.330733340286331
2018,1.8158,2,2,12.571428571428571,443.5,0,1290,156,38,40,10,0,0,0,0,0,21926,21926,21926,21926,21926,746,21926,21926,0,0,1,0,0,0,0,0,Medium,7.1631723908466425,5.056245805348308,3.713572066704308
2007,1.6,2,6,8.0,4.0,0,412,5,15,45,8,4,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,6.023447592961033,1.791759469228055,3.828641396489095
2004,2.0,3,6,10.0,138.0,0,81,6,3,90,12,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,4.406719247264253,1.9459101490553132,4.51085950651685
2003,1.4697,2,4,5.555555555555555,387.0,0,1536,94,66,30,8,3,0,0,0,0,21926,21926,1469,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0,Low,7.337587743538596,4.553876891600541,3.4339872044851463
2005,3.375,1,2,10.0,138.0,0,241,15,8,240,12,0,0,1,0,0,21926,21926,21926,21926,21926,2489,21926,21926,0,0,1,0,0,0,0,0,Medium,5.488937726156687,2.772588722239781,5.484796933490655
2017,2.4,2,4,8.0,227.0,0,255,44,5,30,13,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,5.545177444479562,3.8066624897703196,3.4339872044851463
1988,1.3333,1,4,10.0,138.0,0,159,138,6,45,6,1,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,572,0,0,0,0,0,0,0,1,Low,5.075173815233827,4.9344739331306915,3.828641396489095
1981,1.4,2,2,4.0,138.0,0,198,30,5,10,7,1,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,5.293304824724492,3.4339872044851463,2.3978952727983707
2005,2.8371,2,2,10.923076923076923,252.8947368421053,0,1535,536,178,60,12,2,3,0,0,0,21926,21926,21926,502,21926,457,21926,21926,1,0,1,0,0,0,0,0,Medium,7.336936913707618,6.285998094508865,4.110873864173311
1997,2.7895,2,4,13.333333333333334,366.6666666666667,0,640,58,38,120,12,0,1,0,0,0,21926,21926,21926,772,21926,1294,21926,21926,1,0,1,0,0,0,0,0,Medium,6.46302945692067,4.07753744390572,4.795790545596741
2018,2.9433,1,4,11.5,3.0,3,5835,1317,141,120,13,3,2,0,0,1,381,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0,High,8.671800909642677,7.183870715062453,4.795790545596741
2012,1.2222,2,4,7.0,426.0,0,661,84,9,15,8,6,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,6.495265555937008,4.442651256490317,2.772588722239781
2020,1.9,2,4,8.0,26.0,0,991,182,10,45,9,0,0,1,1,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,High,6.899723107284872,5.209486152841421,3.828641396489095
2009,2.0294,2,6,9.0,1.6666666666666667,0,1071,74,34,30,13,0,5,0,0,0,21926,21926,21926,21926,21926,564,21926,21926,0,0,1,0,0,0,0,0,High,6.977281341630747,4.31748811353631,3.4339872044851463
1996,1.4286,3,8,10.0,138.0,0,382,37,28,30,8,1,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,5.948034989180646,3.6375861597263857,3.4339872044851463
2004,1.2308,2,4,5.285714285714286,6.0,0,369,134,39,20,5,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,97,0,0,0,0,0,0,0,1,Medium,5.91350300563827,4.90527477843843,3.044522437723423
2016,1.0,2,5,10.0,138.0,0,67,1,1,30,6,1,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,4.219507705176107,0.6931471805599453,3.4339872044851463
2019,2.4231,1,5,12.428571428571429,73.66666666666667,2,1977,793,52,60,14,1,1,0,0,0,1334,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0,High,7.589841512182657,6.677083461247136,4.110873864173311
1994,2.4,2,12,14.666666666666666,1219.3333333333333,0,348,15,20,45,10,0,0,0,0,0,21926,21926,21926,21926,272,21926,21926,21926,0,0,0,0,1,0,0,0,Low,5.855071922202427,2.772588722239781,3.828641396489095
1993,2.6667,2,2,10.0,21.0,0,88,77,3,60,8,0,0,0,0,0,2210,552,21926,21926,21926,21926,21926,21926,0,1,0,0,0,1,0,0,High,4.48863636973214,4.356708826689592,4.110873864173311
2000,1.7143,4,8,10.0,138.0,0,188,1,7,45,12,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,5.241747015059643,0.6931471805599453,3.828641396489095
2008,1.3684,2,2,10.0,32.0,0,334,6,19,15,0,0,0,0,0,0,21926,21926,21926,21926,21926,3384,21926,21926,0,0,1,0,0,0,0,0,Low,5.814130531825066,1.9459101490553132,2.772588722239781
2016,1.25,2,5,8.0,122.0,0,420,56,8,30,9,0,0,0,0,1,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,6.042632833682381,4.04305126783455,3.4339872044851463
1987,1.0,2,4,10.0,27.0,0,102,16,3,30,8,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,4.634728988229636,2.833213344056216,3.4339872044851463
2010,3.2222,2,6,11.333333333333334,133.0,0,544,263,36,90,12,1,4,1,0,0,21926,21926,21926,822,21926,21926,21926,21926,1,0,0,0,0,0,0,0,Medium,6.300785794663244,5.575949103146316,4.51085950651685
1978,3.9,2,2,15.333333333333334,3.0,0,235,20,10,60,12,0,0,0,0,0,21926,21926,21926,21926,21926,3386,21926,21926,0,0,1,0,0,0,0,0,Low,5.4638318050256105,3.044522437723423,4.110873864173311
2008,2.3077,2,2,7.333333333333333,261.0,0,26,11,13,20,0,0,0,0,0,0,21926,800,21926,21926,21926,21926,21926,21926,0,0,0,0,0,1,0,0,Low,3.295836866004329,2.4849066497880004,3.044522437723423
